Assembly Accession	Assembly Name	Organism Name	Annotation Name	Assembly Level	Assembly Release Date	Assembly Stats Number of Scaffolds	Assembly BioProject Accession	Assembly BioSample Accession
GCF_002265865.2	ASM226586v2	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-06-07	1	PRJNA186035	SAMN07163935
GCF_001975245.1	ASM197524v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-01-30	1	PRJNA177207	SAMN04160812
GCF_008727635.1	ASM872763v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-29	2	PRJNA562719	SAMN12648952
GCF_000430125.1	ASM43012v1	Salmonella enterica subsp. enterica	GCF_000430125.1-RS_2024_05_26	Complete Genome	2013-07-16	3	PRJNA184141	SAMN01832088
GCF_016454765.1	ASM1645476v1	Salmonella enterica subsp. enterica	GCF_016454765.1-RS_2024_05_17	Complete Genome	2020-12-31	3	PRJNA622256	SAMN14504803
GCF_002234755.2	ASM223475v2	Salmonella enterica subsp. enterica	GCF_002234755.2-RS_2024_05_27	Complete Genome	2017-07-27	2	PRJNA354244	SAMN06045055
GCF_002946375.1	ASM294637v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-02-13	1	PRJNA391404	SAMN08470240
GCF_028892935.1	ASM2889293v1	Salmonella enterica subsp. enterica	GCF_028892935.1-RS_2024_07_03	Complete Genome	2023-03-01	2	PRJNA929056	SAMN32950810
GCF_028893035.1	ASM2889303v1	Salmonella enterica subsp. enterica	GCF_028893035.1-RS_2024_07_03	Complete Genome	2023-03-01	4	PRJNA929056	SAMN32950806
GCF_028892975.1	ASM2889297v1	Salmonella enterica subsp. enterica	GCF_028892975.1-RS_2024_07_03	Complete Genome	2023-03-01	5	PRJNA929056	SAMN32950809
GCF_028892995.1	ASM2889299v1	Salmonella enterica subsp. enterica	GCF_028892995.1-RS_2024_07_03	Complete Genome	2023-03-01	5	PRJNA929056	SAMN32950808
GCF_028893015.1	ASM2889301v1	Salmonella enterica subsp. enterica	GCF_028893015.1-RS_2024_07_03	Complete Genome	2023-03-01	5	PRJNA929056	SAMN32950807
GCF_028892955.1	ASM2889295v1	Salmonella enterica subsp. enterica	GCF_028892955.1-RS_2024_07_03	Complete Genome	2023-03-01	4	PRJNA929056	SAMN32950811
GCF_003171775.1	ASM317177v1	Salmonella enterica subsp. enterica	GCF_003171775.1-RS_2024_09_20	Chromosome	2018-05-26	1	PRJNA391404	SAMN08804085
GCF_902509465.1	assembly	Salmonella enterica subsp. enterica	GCF_902509465.1-RS_2024_09_15	Chromosome	2021-07-26	845	PRJEB34865	SAMEA6098272
GCF_018336435.1	ASM1833643v1	Salmonella enterica subsp. enterica	GCF_018336435.1-RS_2024_06_11	Complete Genome	2021-05-11	2	PRJNA599251	SAMN13741975
GCF_018279985.1	ASM1827998v1	Salmonella enterica subsp. enterica	GCF_018279985.1-RS_2024_09_18	Chromosome	2021-05-05	1	PRJNA564459	SAMN13741975
GCF_014349455.1	ASM1434945v1	Salmonella enterica subsp. enterica	GCF_014349455.1-RS_2024_05_25	Chromosome	2020-09-01	11	PRJNA608221	SAMN14167974
GCF_001975365.1	ASM197536v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-01-30	1	PRJNA177208	SAMN04160823
GCF_028893395.1	ASM2889339v1	Salmonella enterica subsp. enterica	GCF_028893395.1-RS_2024_07_03	Complete Genome	2023-03-01	3	PRJNA929056	SAMN32950788
GCF_003590755.1	ASM359075v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-09-24	2	PRJNA485469	SAMN09791864
GCF_003589785.1	ASM358978v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-09-24	3	PRJNA448882	SAMN03988299
GCF_003589865.1	ASM358986v1	Salmonella enterica subsp. enterica	GCF_003589865.1-RS_2024_04_28	Complete Genome	2018-09-24	2	PRJNA448882	SAMN08868674
GCF_003589845.1	ASM358984v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-09-24	3	PRJNA448882	SAMN08868685
GCF_028893455.1	ASM2889345v1	Salmonella enterica subsp. enterica	GCF_028893455.1-RS_2024_07_03	Complete Genome	2023-03-01	3	PRJNA929056	SAMN32950785
GCF_003589825.1	ASM358982v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-09-24	3	PRJNA448882	SAMN08868707
GCF_028893215.1	ASM2889321v1	Salmonella enterica subsp. enterica	GCF_028893215.1-RS_2024_07_03	Complete Genome	2023-03-01	2	PRJNA929056	SAMN32950797
GCF_039852005.1	ASM3985200v1	Salmonella enterica subsp. enterica	GCF_039852005.1-RS_2024_05_27	Complete Genome	2024-05-28	2	PRJNA1109834	SAMN41291410
GCF_039851995.1	ASM3985199v1	Salmonella enterica subsp. enterica	GCF_039851995.1-RS_2024_05_27	Complete Genome	2024-05-28	3	PRJNA1109834	SAMN41291419
GCF_003589805.1	ASM358980v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-09-24	3	PRJNA448882	SAMN03894186
GCF_003595725.1	ASM359572v1	Salmonella enterica subsp. enterica	GCF_003595725.1-RS_2024_07_28	Complete Genome	2018-09-24	3	PRJNA485466	SAMN09791862
GCF_028893335.1	ASM2889333v1	Salmonella enterica subsp. enterica	GCF_028893335.1-RS_2024_07_03	Complete Genome	2023-03-01	3	PRJNA929056	SAMN32950791
GCF_003595645.1	ASM359564v1	Salmonella enterica subsp. enterica	GCF_003595645.1-RS_2024_07_27	Complete Genome	2018-09-24	3	PRJNA485470	SAMN09791878
GCF_028893135.1	ASM2889313v1	Salmonella enterica subsp. enterica	GCF_028893135.1-RS_2024_07_03	Complete Genome	2023-03-01	2	PRJNA929056	SAMN32950801
GCF_028893315.1	ASM2889331v1	Salmonella enterica subsp. enterica	GCF_028893315.1-RS_2024_07_03	Complete Genome	2023-03-01	3	PRJNA929056	SAMN32950792
GCF_028893195.1	ASM2889319v1	Salmonella enterica subsp. enterica	GCF_028893195.1-RS_2024_07_03	Complete Genome	2023-03-01	3	PRJNA929056	SAMN32950798
GCF_002266085.2	ASM226608v2	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-06-07	2	PRJNA186035	SAMN07163940
GCF_028893275.1	ASM2889327v1	Salmonella enterica subsp. enterica	GCF_028893275.1-RS_2024_07_03	Complete Genome	2023-03-01	3	PRJNA929056	SAMN32950794
GCF_039880325.1	ASM3988032v1	Salmonella enterica subsp. enterica	GCF_039880325.1-RS_2024_05_29	Complete Genome	2024-05-30	2	PRJNA1109834	SAMN41291392
GCF_028893175.1	ASM2889317v1	Salmonella enterica subsp. enterica	GCF_028893175.1-RS_2024_07_03	Complete Genome	2023-03-01	3	PRJNA929056	SAMN32950799
GCF_028893255.1	ASM2889325v1	Salmonella enterica subsp. enterica	GCF_028893255.1-RS_2024_07_03	Complete Genome	2023-03-01	3	PRJNA929056	SAMN32950795
GCF_001953035.1	ASM195303v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-01-17	2	PRJNA41463	SAMN01041081
GCF_000020925.1	ASM2092v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2008-09-04	2	PRJNA19467	SAMN02604065
GCF_000192085.1	ASM19208v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	2011-03-22	2	PRJNA56085	SAMN02415257
GCF_002266205.2	ASM226620v2	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-06-07	1	PRJNA186035	SAMN07163931
GCF_002761055.1	ASM276105v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-11-07	2	PRJNA354706	SAMN06050736
GCF_045004275.1	ASM4500427v1	Salmonella enterica subsp. enterica	GCF_045004275.1-RS_2024_11_18	Complete Genome	2024-11-22	3	PRJNA1183609	SAMN44630390
GCF_045004185.1	ASM4500418v1	Salmonella enterica subsp. enterica	GCF_045004185.1-RS_2024_11_18	Complete Genome	2024-11-22	2	PRJNA1183606	SAMN44630387
GCF_045004235.1	ASM4500423v1	Salmonella enterica subsp. enterica	GCF_045004235.1-RS_2024_11_18	Complete Genome	2024-11-22	3	PRJNA1183594	SAMN44630147
GCF_045004255.1	ASM4500425v1	Salmonella enterica subsp. enterica	GCF_045004255.1-RS_2024_11_18	Complete Genome	2024-11-22	2	PRJNA1183611	SAMN44630401
GCF_037881315.1	s-10827	Salmonella enterica subsp. enterica	GCF_037881315.1-RS_2024_04_05	Complete Genome	2024-04-05	1	PRJNA1089820	SAMN40550007
GCF_031182125.1	ASM3118212v1	Salmonella enterica subsp. enterica	GCF_031182125.1-RS_2024_09_19	Complete Genome	2023-09-03	3	PRJNA1009498	SAMN37155315
GCF_024266125.1	ASM2426612v1	Salmonella enterica subsp. enterica	GCF_024266125.1-RS_2024_07_27	Complete Genome	2022-07-14	4	PRJNA478278	SAMN29431229
GCF_024266525.1	ASM2426652v1	Salmonella enterica subsp. enterica	GCF_024266525.1-RS_2024_07_27	Complete Genome	2022-07-14	4	PRJNA478278	SAMN29431220
GCF_015240855.1	ASM1524085v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-05	3	PRJNA671837	SAMN16552336
GCF_032465795.1	ASM3246579v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-10	4	PRJNA999640	SAMN36745171
GCF_012050745.1	ASM1205074v1	Salmonella enterica subsp. enterica	GCF_012050745.1-RS_2024_03_22	Complete Genome	2020-04-06	2	PRJNA615288	SAMN14450170
GCF_015240995.1	ASM1524099v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-05	3	PRJNA671837	SAMN16552337
GCF_030122215.1	ASM3012221v1	Salmonella enterica subsp. enterica	GCF_030122215.1-RS_2024_06_14	Complete Genome	2023-05-26	4	PRJNA942086	SAMN33677888
GCF_030122195.1	ASM3012219v1	Salmonella enterica subsp. enterica	GCF_030122195.1-RS_2024_06_14	Complete Genome	2023-05-26	3	PRJNA942086	SAMN33677889
GCF_030122175.1	ASM3012217v1	Salmonella enterica subsp. enterica	GCF_030122175.1-RS_2024_06_15	Complete Genome	2023-05-26	3	PRJNA942086	SAMN33677890
GCF_031187125.1	ASM3118712v1	Salmonella enterica subsp. enterica	GCF_031187125.1-RS_2024_09_19	Complete Genome	2023-09-03	2	PRJNA1009674	SAMN37159800
GCF_031188765.1	ASM3118876v1	Salmonella enterica subsp. enterica	GCF_031188765.1-RS_2024_09_19	Complete Genome	2023-09-03	2	PRJNA1009704	SAMN37160125
GCF_029866625.1	ASM2986662v1	Salmonella enterica subsp. enterica	GCF_029866625.1-RS_2024_06_01	Complete Genome	2023-04-25	3	PRJNA817289	SAMN26754305
GCF_020714845.1	ASM2071484v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-02	1	PRJNA773208	SAMN22446313
GCF_020715405.1	ASM2071540v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-02	1	PRJNA773208	SAMN22446295
GCF_020715385.1	ASM2071538v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-02	1	PRJNA773208	SAMN22446296
GCF_020716645.1	ASM2071664v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-02	1	PRJNA773208	SAMN22446290
GCF_020714865.1	ASM2071486v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-02	1	PRJNA773208	SAMN22446297
GCF_020714925.1	ASM2071492v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-02	1	PRJNA773208	SAMN22446298
GCF_020715165.1	ASM2071516v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-02	1	PRJNA773208	SAMN22446310
GCF_020714645.1	ASM2071464v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-02	1	PRJNA773208	SAMN22446318
GCF_020715265.1	ASM2071526v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-02	1	PRJNA773208	SAMN22446309
GCF_020715505.1	ASM2071550v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-02	1	PRJNA773208	SAMN22446289
GCF_020714725.1	ASM2071472v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-02	1	PRJNA773208	SAMN22446319
GCF_020714805.1	ASM2071480v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-02	1	PRJNA773208	SAMN22446314
GCF_020715325.1	ASM2071532v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-02	1	PRJNA773208	SAMN22446305
GCF_020715305.1	ASM2071530v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-02	1	PRJNA773208	SAMN22446306
GCF_015074885.1	ASM1507488v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-10-29	5	PRJNA478278	SAMN16450742
GCF_020715045.1	ASM2071504v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-02	1	PRJNA773208	SAMN22446311
GCF_020714905.1	ASM2071490v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-02	1	PRJNA773208	SAMN22446312
GCF_020715465.1	ASM2071546v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-02	1	PRJNA773208	SAMN22446293
GCF_020715425.1	ASM2071542v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-02	1	PRJNA773208	SAMN22446294
GCF_020715285.1	ASM2071528v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-02	1	PRJNA773208	SAMN22446307
GCF_020715225.1	ASM2071522v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-02	1	PRJNA773208	SAMN22446308
GCF_000750215.1	ASM75021v1	Salmonella enterica subsp. enterica	GCF_000750215.1-RS_2024_05_08	Complete Genome	2014-09-09	1	PRJNA256209	SAMN02941163
GCF_000750335.1	ASM75033v1	Salmonella enterica subsp. enterica	GCF_000750335.1-RS_2024_05_08	Complete Genome	2014-09-09	1	PRJNA256209	SAMN02941166
GCF_003429365.1	ASM342936v1	Salmonella enterica subsp. enterica	GCF_003429365.1-RS_2024_03_20	Complete Genome	2018-08-28	2	PRJNA400838	SAMN07580859
GCF_009664795.1	ASM966479v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-11-17	1	PRJNA556438	SAMN13191644
GCF_000750375.1	ASM75037v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-09-09	1	PRJNA256209	SAMN02941167
GCF_002761035.1	ASM276103v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-11-07	2	PRJNA354706	SAMN06050735
GCF_002761015.1	ASM276101v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-11-07	1	PRJNA354706	SAMN06050732
GCF_002763415.1	ASM276341v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-11-07	4	PRJNA354706	SAMN06050734
GCF_002760955.1	ASM276095v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-11-07	2	PRJNA354706	SAMN06050729
GCF_002761135.1	ASM276113v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-11-07	3	PRJNA354706	SAMN06050727
GCF_009884355.1	ASM988435v1	Salmonella enterica subsp. enterica	GCF_009884355.1-RS_2024_03_22	Complete Genome	2020-01-15	2	PRJNA556121	SAMN12340930
GCF_002761155.1	ASM276115v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-11-07	3	PRJNA354706	SAMN06050733
GCF_020715525.1	ASM2071552v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-02	1	PRJNA773208	SAMN22446288
GCF_002220345.1	ASM222034v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-07-17	1	PRJNA328055	SAMN05363482
GCF_002760975.1	ASM276097v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-11-07	1	PRJNA354706	SAMN06050730
GCF_003032035.1	ASM303203v1	Salmonella enterica subsp. enterica	GCF_003032035.1-RS_2024_05_06	Complete Genome	2018-04-03	3	PRJNA420913	SAMN08125525
GCF_015240635.1	ASM1524063v1	Salmonella enterica subsp. enterica	GCF_015240635.1-RS_2024_03_23	Complete Genome	2020-11-05	2	PRJNA671837	SAMN16552335
GCF_015241115.1	ASM1524111v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-11-05	3	PRJNA671837	SAMN16552338
GCF_002982095.1	ASM298209v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-03-08	1	PRJNA371723	SAMN06311389
GCF_003312565.1	ASM331256v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2018-07-11	3	PRJNA230403	SAMN09534371
GCF_031183715.1	ASM3118371v1	Salmonella enterica subsp. enterica	GCF_031183715.1-RS_2024_09_19	Complete Genome	2023-09-03	3	PRJNA1009504	SAMN37156895
GCF_031184215.1	ASM3118421v1	Salmonella enterica subsp. enterica	GCF_031184215.1-RS_2024_09_19	Complete Genome	2023-09-03	3	PRJNA1009506	SAMN37156981
GCF_031184795.1	ASM3118479v1	Salmonella enterica subsp. enterica	GCF_031184795.1-RS_2024_09_19	Complete Genome	2023-09-03	3	PRJNA1009507	SAMN37156982
GCF_008313815.1	ASM831381v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-09-06	2	PRJNA562154	SAMN12634962
GCF_002760995.1	ASM276099v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-11-07	2	PRJNA354706	SAMN06050731
GCF_001305235.1	ASM130523v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-10-01	2	PRJNA262006	SAMN03140319
GCF_005889955.1	ASM588995v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-05-30	2	PRJNA507264	SAMN09943619
GCF_024137945.1	ASM2413794v1	Salmonella enterica subsp. enterica	GCF_024137945.1-RS_2024_07_21	Complete Genome	2022-07-05	2	PRJNA852665	SAMN29340051
GCF_006517055.1	ASM651705v1	Salmonella enterica subsp. enterica	GCF_006517055.1-RS_2024_03_22	Complete Genome	2019-06-30	3	PRJNA547698	SAMN11979403
GCF_002813975.1	ASM281397v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-07	2	PRJNA320034	SAMN04924824
GCF_006517015.1	ASM651701v1	Salmonella enterica subsp. enterica	GCF_006517015.1-RS_2024_03_22	Complete Genome	2019-06-30	3	PRJNA547698	SAMN11979404
GCF_012050205.1	ASM1205020v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-06	3	PRJNA615288	SAMN14450173
GCF_032465775.1	ASM3246577v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2023-10-10	3	PRJNA999640	SAMN36745158
GCF_030027965.1	ASM3002796v1	Salmonella enterica subsp. enterica	GCF_030027965.1-RS_2024_06_09	Complete Genome	2023-05-17	3	PRJNA967508	SAMN34598608
GCF_002813995.1	ASM281399v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-12-07	2	PRJNA320034	SAMN04924825
GCF_001973785.2	ASM197378v2	Salmonella enterica subsp. enterica	GCF_001973785.2-RS_2024_08_12	Complete Genome	2021-06-07	3	PRJNA186035	SAMN05414408
GCF_002761095.1	ASM276109v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-11-07	3	PRJNA354706	SAMN06050738
GCF_012050905.1	ASM1205090v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-06	3	PRJNA615288	SAMN14450169
GCF_012049805.1	ASM1204980v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2020-04-06	3	PRJNA615288	SAMN14450174
GCF_002760935.1	ASM276093v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-11-07	2	PRJNA354706	SAMN06050728
GCF_001972545.2	ASM197254v2	Salmonella enterica subsp. enterica	GCF_001972545.2-RS_2024_08_12	Complete Genome	2021-05-28	2	PRJNA186035	SAMN05414469
GCF_005889975.1	ASM588997v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2019-05-30	2	PRJNA507264	SAMN09943628
GCF_001647045.1	ASM164704v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2016-05-18	4	PRJNA274686	SAMN03328998
GCF_012050385.1	ASM1205038v1	Salmonella enterica subsp. enterica	GCF_012050385.1-RS_2024_03_22	Complete Genome	2020-04-06	5	PRJNA615288	SAMN14450171
GCF_020410865.1	ASM2041086v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-10-11	2	PRJNA767168	SAMN21891814
GCF_002128365.1	ASM212836v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-05-11	2	PRJNA242847	SAMN03702839
GCF_020714785.1	ASM2071478v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-02	1	PRJNA773208	SAMN22446316
GCF_026013745.1	ASM2601374v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022-11-06	2	PRJNA889074	SAMN31231980
GCF_002761075.1	ASM276107v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-11-07	2	PRJNA354706	SAMN06050737
GCF_030127085.1	ASM3012708v1	Salmonella enterica subsp. enterica	GCF_030127085.1-RS_2024_06_15	Complete Genome	2023-05-29	4	PRJNA974170	SAMN35169325
GCF_020714765.1	ASM2071476v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-02	1	PRJNA773208	SAMN22446315
GCF_020715545.1	ASM2071554v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-02	1	PRJNA773208	SAMN22446287
GCF_001972625.2	ASM197262v2	Salmonella enterica subsp. enterica	GCF_001972625.2-RS_2024_08_12	Complete Genome	2021-06-07	2	PRJNA186035	SAMN05414461
GCF_020714745.1	ASM2071474v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2021-11-02	1	PRJNA773208	SAMN22446317
GCF_012050525.1	ASM1205052v1	Salmonella enterica subsp. enterica	GCF_012050525.1-RS_2024_03_22	Complete Genome	2020-04-06	4	PRJNA615288	SAMN14450172
GCF_000750395.2	ASM75039v2	Salmonella enterica subsp. enterica	GCF_000750395.2-RS_2024_03_15	Complete Genome	2015-02-06	1	PRJNA256209	SAMN02937349
GCF_000750415.2	ASM75041v2	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2015-02-06	1	PRJNA256209	SAMN02937348
GCF_001973275.2	ASM197327v2	Salmonella enterica subsp. enterica	GCF_001973275.2-RS_2024_08_12	Complete Genome	2017-06-26	2	PRJNA186035	SAMN05414452
GCF_002128385.1	ASM212838v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2017-05-11	2	PRJNA242847	SAMN03702837
GCF_000754375.1	ASM75437v1	Salmonella enterica subsp. enterica	GCF_000754375.1-RS_2024_03_15	Complete Genome	2014-09-12	2	PRJNA244356	SAMN02904629
GCF_000612325.1	ASM61232v1	Salmonella enterica subsp. enterica	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2014-04-04	2	PRJNA241513	SAMN02712059
GCF_000750475.1	ASM75047v1	Salmonella enterica subsp. enterica	GCF_000750475.1-RS_2024_05_08	Complete Genome	2014-09-09	1	PRJNA256209	SAMN02937347
GCF_000750455.1	ASM75045v1	Salmonella enterica subsp. enterica	GCF_000750455.1-RS_2024_05_08	Complete Genome	2014-09-09	1	PRJNA256209	SAMN02937351
GCF_003031995.1	ASM303199v1	Salmonella enterica subsp. enterica	GCF_003031995.1-RS_2024_05_07	Complete Genome	2018-04-03	2	PRJNA420913	SAMN08125532
GCF_000750435.1	ASM75043v1	Salmonella enterica subsp. enterica	GCF_000750435.1-RS_2024_05_08	Complete Genome	2014-09-09	1	PRJNA256209	SAMN02937350
GCF_001185215.1	ASM118521v1	Salmonella enterica subsp. enterica	GCF_001185215.1-RS_2024_03_15	Complete Genome	2015-07-22	1	PRJNA280705	SAMN03465493
